survey_id,recipient_id,date,success
s-000116,r-00048,01/17/21,TRUE
s-000117,r-00016,11/16/20,FALSE
s-000118,r-00177,12/27/20,FALSE
s-000119,r-00066,11/06/20,FALSE
s-000120,r-00001,11/01/20,FALSE
s-000121,r-00010,11/20/20,FALSE
s-000122,r-00117,01/24/21,TRUE
s-000123,r-00178,01/07/21,FALSE
s-000124,r-00076,12/14/20,TRUE
s-000125,r-00130,12/06/20,TRUE
s-000126,r-00186,12/06/20,FALSE
s-000127,r-00069,12/07/20,TRUE
s-000128,r-00192,01/01/21,FALSE
s-000129,r-00170,01/15/21,TRUE
s-000130,r-00096,01/03/21,TRUE
s-000131,r-00040,01/09/21,TRUE
s-000132,r-00038,01/07/21,TRUE
s-000133,r-00187,12/27/20,FALSE
s-000134,r-00006,11/16/20,FALSE
s-000135,r-00083,11/23/20,FALSE
s-000136,r-00175,12/05/20,FALSE
s-000137,r-00145,12/21/20,TRUE
s-000138,r-00196,12/26/20,FALSE
s-000139,r-00078,11/18/20,FALSE
s-000140,r-00050,01/19/21,TRUE
s-000141,r-00197,01/26/21,FALSE
s-000142,r-00199,12/29/20,FALSE
s-000143,r-00031,12/31/20,TRUE
s-000144,r-00015,11/15/20,FALSE
s-000145,r-00034,11/04/20,FALSE
s-000146,r-00188,01/17/21,FALSE
s-000147,r-00195,01/04/21,FALSE
s-000148,r-00194,12/24/20,FALSE
s-000149,r-00194,01/03/21,FALSE
s-000150,r-00150,12/26/20,TRUE
s-000151,r-00082,12/20/20,TRUE
s-000152,r-00091,11/01/20,FALSE
s-000153,r-00024,12/24/20,TRUE
s-000154,r-00155,12/31/20,TRUE
s-000155,r-00003,11/03/20,FALSE
s-000156,r-00053,11/23/20,FALSE
s-000157,r-00077,11/17/20,FALSE
s-000158,r-00172,12/12/20,FALSE
s-000159,r-00008,11/18/20,FALSE
s-000160,r-00159,01/04/21,TRUE
s-000161,r-00045,11/25/20,FALSE
s-000162,r-00025,11/05/20,FALSE
s-000163,r-00053,01/22/21,TRUE
s-000164,r-00023,11/03/20,FALSE
s-000165,r-00068,12/06/20,TRUE
s-000166,r-00140,12/16/20,TRUE
s-000167,r-00103,01/10/21,TRUE
s-000168,r-00183,01/28/21,FALSE
s-000169,r-00020,11/20/20,FALSE
s-000170,r-00024,11/04/20,FALSE
s-000171,r-00172,01/17/21,FALSE
s-000172,r-00169,01/14/21,TRUE
s-000173,r-00013,11/13/20,FALSE
s-000174,r-00191,12/31/20,FALSE
s-000175,r-00043,11/13/20,FALSE
s-000176,r-00100,01/07/21,TRUE
s-000177,r-00197,12/07/20,FALSE
s-000178,r-00039,01/08/21,TRUE
s-000179,r-00180,12/30/20,FALSE
s-000180,r-00049,11/29/20,FALSE
s-000181,r-00066,12/04/20,TRUE
s-000182,r-00005,12/05/20,TRUE
s-000183,r-00175,01/04/21,FALSE
s-000184,r-00179,12/09/20,FALSE
s-000185,r-00037,11/17/20,FALSE
s-000186,r-00015,12/15/20,TRUE
s-000187,r-00073,11/13/20,FALSE
s-000188,r-00142,12/18/20,TRUE
s-000189,r-00023,11/23/20,FALSE
s-000190,r-00027,11/27/20,FALSE
s-000191,r-00093,11/03/20,FALSE
s-000192,r-00101,01/08/21,TRUE
s-000193,r-00186,12/16/20,FALSE
s-000194,r-00144,12/20/20,TRUE
s-000195,r-00027,12/27/20,TRUE
s-000196,r-00193,01/02/21,FALSE
s-000197,r-00004,11/14/20,FALSE
s-000198,r-00062,01/31/21,TRUE
s-000199,r-00071,11/11/20,FALSE
s-000200,r-00026,11/06/20,FALSE
s-000201,r-00176,12/06/20,FALSE
s-000202,r-00104,01/11/21,TRUE
s-000203,r-00059,11/29/20,FALSE
s-000204,r-00039,11/09/20,FALSE
s-000205,r-00181,01/26/21,FALSE
s-000206,r-00014,11/14/20,FALSE
s-000207,r-00039,11/19/20,FALSE
s-000208,r-00033,01/02/21,TRUE
s-000209,r-00041,11/21/20,FALSE
s-000210,r-00174,01/03/21,FALSE
s-000211,r-00125,12/01/20,TRUE
s-000212,r-00148,12/24/20,TRUE
s-000213,r-00001,11/11/20,FALSE
s-000214,r-00024,11/24/20,FALSE
s-000215,r-00193,12/13/20,FALSE
s-000216,r-00071,12/09/20,TRUE
s-000217,r-00075,11/15/20,FALSE
s-000218,r-00017,11/17/20,FALSE
s-000219,r-00187,12/17/20,FALSE
s-000220,r-00038,11/18/20,FALSE
s-000221,r-00172,01/01/21,FALSE
s-000222,r-00059,01/28/21,TRUE
s-000223,r-00190,12/30/20,FALSE
s-000224,r-00141,12/17/20,TRUE
s-000225,r-00013,12/13/20,TRUE
s-000226,r-00190,01/19/21,FALSE
s-000227,r-00018,11/28/20,FALSE
s-000228,r-00098,11/08/20,FALSE
s-000229,r-00181,12/21/20,FALSE
s-000230,r-00052,01/21/21,TRUE
s-000231,r-00120,01/27/21,TRUE
s-000232,r-00080,12/18/20,TRUE
s-000233,r-00121,01/28/21,TRUE
s-000234,r-00029,11/09/20,FALSE
s-000235,r-00175,12/25/20,FALSE
s-000236,r-00045,11/15/20,FALSE
s-000237,r-00190,01/09/21,FALSE
s-000238,r-00172,12/02/20,FALSE
s-000239,r-00031,11/01/20,FALSE
s-000240,r-00032,11/12/20,FALSE
s-000241,r-00074,12/12/20,TRUE
s-000242,r-00151,12/27/20,TRUE
s-000243,r-00172,12/22/20,FALSE
s-000244,r-00109,01/16/21,TRUE
s-000245,r-00190,12/20/20,FALSE
s-000246,r-00171,12/21/20,FALSE
s-000247,r-00022,12/22/20,TRUE
s-000248,r-00178,01/23/21,FALSE
s-000249,r-00018,12/18/20,TRUE
s-000250,r-00030,11/30/20,FALSE
s-000251,r-00184,01/03/21,FALSE
s-000252,r-00070,12/08/20,TRUE
s-000253,r-00056,01/25/21,TRUE
s-000254,r-00165,01/10/21,TRUE
s-000255,r-00079,11/19/20,FALSE
s-000256,r-00200,12/10/20,FALSE
s-000257,r-00177,01/22/21,FALSE
s-000258,r-00049,01/18/21,TRUE
s-000259,r-00019,11/29/20,FALSE
s-000260,r-00026,12/26/20,TRUE
s-000261,r-00023,12/23/20,TRUE
s-000262,r-00181,12/01/20,FALSE
s-000263,r-00182,12/02/20,FALSE
s-000264,r-00181,12/11/20,FALSE
s-000265,r-00200,01/09/21,FALSE
s-000266,r-00042,01/11/21,TRUE
s-000267,r-00179,01/08/21,FALSE
s-000268,r-00173,01/02/21,FALSE
s-000269,r-00174,12/24/20,FALSE
s-000270,r-00090,12/28/20,TRUE
s-000271,r-00193,12/23/20,FALSE
s-000272,r-00107,01/14/21,TRUE
s-000273,r-00060,11/30/20,FALSE
s-000274,r-00183,12/23/20,FALSE
s-000275,r-00139,12/15/20,TRUE
s-000276,r-00182,12/12/20,FALSE
s-000277,r-00158,01/03/21,TRUE
s-000278,r-00032,11/02/20,FALSE
s-000279,r-00157,01/02/21,TRUE
s-000280,r-00070,11/10/20,FALSE
s-000281,r-00012,11/22/20,FALSE
s-000282,r-00097,01/04/21,TRUE
s-000283,r-00171,12/01/20,FALSE
s-000284,r-00198,01/07/21,FALSE
s-000285,r-00198,12/08/20,FALSE
s-000286,r-00095,01/02/21,TRUE
s-000287,r-00182,01/01/21,FALSE
s-000288,r-00026,11/26/20,FALSE
s-000289,r-00051,11/21/20,FALSE
s-000290,r-00022,11/02/20,FALSE
s-000291,r-00019,12/19/20,TRUE
s-000292,r-00014,12/14/20,TRUE
s-000293,r-00006,11/06/20,FALSE
s-000294,r-00081,11/21/20,FALSE
s-000295,r-00087,12/25/20,TRUE
s-000296,r-00052,11/22/20,FALSE
s-000297,r-00028,11/28/20,FALSE
s-000298,r-00093,12/31/20,TRUE
s-000299,r-00180,01/25/21,FALSE
s-000300,r-00040,11/20/20,FALSE
s-000301,r-00176,01/05/21,FALSE
s-000302,r-00008,11/08/20,FALSE
s-000303,r-00090,11/30/20,FALSE
s-000304,r-00092,12/30/20,TRUE
s-000305,r-00082,11/22/20,FALSE
s-000306,r-00185,12/25/20,FALSE
s-000307,r-00067,11/07/20,FALSE
s-000308,r-00195,12/15/20,FALSE
s-000309,r-00178,12/08/20,FALSE
s-000310,r-00088,12/26/20,TRUE
s-000311,r-00198,12/18/20,FALSE
s-000312,r-00047,11/17/20,FALSE
s-000313,r-00044,11/14/20,FALSE
s-000314,r-00184,12/24/20,FALSE
s-000315,r-00171,01/16/21,FALSE
s-000316,r-00138,12/14/20,TRUE
s-000317,r-00054,01/23/21,TRUE
s-000318,r-00118,01/25/21,TRUE
s-000319,r-00134,12/10/20,TRUE
s-000320,r-00200,12/30/20,FALSE
s-000321,r-00166,01/11/21,TRUE
s-000322,r-00162,01/07/21,TRUE
s-000323,r-00152,12/28/20,TRUE
s-000324,r-00175,01/20/21,FALSE
s-000325,r-00196,12/16/20,FALSE
s-000326,r-00116,01/23/21,TRUE
s-000327,r-00092,11/02/20,FALSE
s-000328,r-00200,12/20/20,FALSE
s-000329,r-00037,11/07/20,FALSE
s-000330,r-00054,11/24/20,FALSE
s-000331,r-00008,12/08/20,TRUE
s-000332,r-00062,11/02/20,FALSE
s-000333,r-00099,11/09/20,FALSE
s-000334,r-00047,01/16/21,TRUE
s-000335,r-00034,01/03/21,TRUE
s-000336,r-00113,01/20/21,TRUE
s-000337,r-00045,01/14/21,TRUE
s-000338,r-00177,01/06/21,FALSE
s-000339,r-00154,12/30/20,TRUE
s-000340,r-00028,12/28/20,TRUE
s-000341,r-00161,01/06/21,TRUE
s-000342,r-00085,12/23/20,TRUE
s-000343,r-00020,11/30/20,FALSE
s-000344,r-00179,01/24/21,FALSE
s-000345,r-00002,11/12/20,FALSE
s-000346,r-00005,11/05/20,FALSE
s-000347,r-00174,12/04/20,FALSE
s-000348,r-00133,12/09/20,TRUE
s-000349,r-00029,11/29/20,FALSE
s-000350,r-00192,12/22/20,FALSE
s-000351,r-00174,12/14/20,FALSE
s-000352,r-00064,11/04/20,FALSE
s-000353,r-00044,01/13/21,TRUE
s-000354,r-00036,11/06/20,FALSE
s-000355,r-00188,12/18/20,FALSE
s-000356,r-00064,12/02/20,TRUE
s-000357,r-00149,12/25/20,TRUE
s-000358,r-00196,12/06/20,FALSE
s-000359,r-00196,01/25/21,FALSE
s-000360,r-00061,01/30/21,TRUE
s-000361,r-00019,11/19/20,FALSE
s-000362,r-00105,01/12/21,TRUE
s-000363,r-00098,01/05/21,TRUE
s-000364,r-00018,11/18/20,FALSE
s-000365,r-00011,12/11/20,TRUE
s-000366,r-00016,12/16/20,TRUE
s-000367,r-00068,11/08/20,FALSE
s-000368,r-00197,01/06/21,FALSE
s-000369,r-00195,01/24/21,FALSE
s-000370,r-00032,01/01/21,TRUE
s-000371,r-00014,11/24/20,FALSE
s-000372,r-00075,12/13/20,TRUE
s-000373,r-00188,12/28/20,FALSE
s-000374,r-00094,01/01/21,TRUE
s-000375,r-00080,11/20/20,FALSE
s-000376,r-00114,01/21/21,TRUE
s-000377,r-00042,11/12/20,FALSE
s-000378,r-00168,01/13/21,TRUE
s-000379,r-00110,01/17/21,TRUE
s-000380,r-00074,11/14/20,FALSE
s-000381,r-00131,12/07/20,TRUE
s-000382,r-00102,01/09/21,TRUE
s-000383,r-00163,01/08/21,TRUE
s-000384,r-00003,12/03/20,TRUE
s-000385,r-00192,01/21/21,FALSE
s-000386,r-00021,11/01/20,FALSE
s-000387,r-00004,12/04/20,TRUE
s-000388,r-00083,12/21/20,TRUE
s-000389,r-00035,01/04/21,TRUE
s-000390,r-00191,12/21/20,FALSE
s-000391,r-00042,11/22/20,FALSE
s-000392,r-00021,12/21/20,TRUE
s-000393,r-00055,01/24/21,TRUE
s-000394,r-00179,12/29/20,FALSE
s-000395,r-00191,12/01/20,FALSE
s-000396,r-00010,12/10/20,TRUE
s-000397,r-00187,01/06/21,FALSE
s-000398,r-00029,12/29/20,TRUE
s-000399,r-00108,01/15/21,TRUE
s-000400,r-00044,11/24/20,FALSE
s-000401,r-00185,01/04/21,FALSE
s-000402,r-00089,12/27/20,TRUE
s-000403,r-00007,12/07/20,TRUE
s-000404,r-00129,12/05/20,TRUE
s-000405,r-00091,12/29/20,TRUE
s-000406,r-00057,11/27/20,FALSE
s-000407,r-00072,11/12/20,FALSE
s-000408,r-00156,01/01/21,TRUE
s-000409,r-00195,12/05/20,FALSE
s-000410,r-00199,01/08/21,FALSE
s-000411,r-00057,01/26/21,TRUE
s-000412,r-00067,12/05/20,TRUE
s-000413,r-00189,12/29/20,FALSE
s-000414,r-00180,12/10/20,FALSE
s-000415,r-00069,11/09/20,FALSE
s-000416,r-00115,01/22/21,TRUE
s-000417,r-00084,11/24/20,FALSE
s-000418,r-00176,12/26/20,FALSE
s-000419,r-00040,11/10/20,FALSE
s-000420,r-00132,12/08/20,TRUE
s-000421,r-00036,01/05/21,TRUE
s-000422,r-00002,12/02/20,TRUE
s-000423,r-00027,11/07/20,FALSE
s-000424,r-00171,12/11/20,FALSE
s-000425,r-00022,11/22/20,FALSE
s-000426,r-00180,01/09/21,FALSE
s-000427,r-00187,12/07/20,FALSE
s-000428,r-00065,11/05/20,FALSE
s-000429,r-00009,11/09/20,FALSE
s-000430,r-00084,12/22/20,TRUE
s-000431,r-00164,01/09/21,TRUE
s-000432,r-00194,12/14/20,FALSE
s-000433,r-00171,12/31/20,FALSE
s-000434,r-00043,01/12/21,TRUE
s-000435,r-00095,11/05/20,FALSE
s-000436,r-00072,12/10/20,TRUE
s-000437,r-00015,11/25/20,FALSE
s-000438,r-00198,12/28/20,FALSE
s-000439,r-00048,11/18/20,FALSE
s-000440,r-00198,01/27/21,FALSE
s-000441,r-00173,12/23/20,FALSE
s-000442,r-00178,12/18/20,FALSE
s-000443,r-00167,01/12/21,TRUE
s-000444,r-00016,11/26/20,FALSE
s-000445,r-00043,11/23/20,FALSE
s-000446,r-00189,01/08/21,FALSE
s-000447,r-00176,12/16/20,FALSE
s-000448,r-00085,11/25/20,FALSE
s-000449,r-00010,11/10/20,FALSE
s-000450,r-00192,12/12/20,FALSE
s-000451,r-00061,11/01/20,FALSE
s-000452,r-00184,12/14/20,FALSE
s-000453,r-00177,12/17/20,FALSE
s-000454,r-00186,01/31/21,FALSE
s-000455,r-00060,01/29/21,TRUE
s-000456,r-00177,12/07/20,FALSE
s-000457,r-00051,01/20/21,TRUE
s-000458,r-00153,12/29/20,TRUE
s-000459,r-00196,01/05/21,FALSE
s-000460,r-00011,11/21/20,FALSE
s-000461,r-00189,01/18/21,FALSE
s-000462,r-00112,01/19/21,TRUE
s-000463,r-00176,01/21/21,FALSE
s-000464,r-00065,12/03/20,TRUE
s-000465,r-00063,12/01/20,TRUE
s-000466,r-00189,12/09/20,FALSE
s-000467,r-00081,12/19/20,TRUE
s-000468,r-00188,01/07/21,FALSE
s-000469,r-00002,11/02/20,FALSE
s-000470,r-00073,12/11/20,TRUE
s-000001,r-00099,01/06/21,TRUE
s-000002,r-00034,11/14/20,FALSE
s-000003,r-00036,11/16/20,FALSE
s-000004,r-00046,01/15/21,TRUE
s-000005,r-00122,01/29/21,TRUE
s-000006,r-00181,12/31/20,FALSE
s-000007,r-00197,12/27/20,FALSE
s-000008,r-00180,12/20/20,FALSE
s-000009,r-00050,11/30/20,FALSE
s-000010,r-00173,12/03/20,FALSE
s-000011,r-00079,12/17/20,TRUE
s-000012,r-00055,11/25/20,FALSE
s-000013,r-00086,12/24/20,TRUE
s-000014,r-00146,12/22/20,TRUE
s-000015,r-00033,11/03/20,FALSE
s-000016,r-00058,11/28/20,FALSE
s-000017,r-00028,11/08/20,FALSE
s-000018,r-00193,01/22/21,FALSE
s-000019,r-00111,01/18/21,TRUE
s-000020,r-00038,11/08/20,FALSE
s-000021,r-00185,12/15/20,FALSE
s-000022,r-00147,12/23/20,TRUE
s-000023,r-00020,12/20/20,TRUE
s-000024,r-00007,11/17/20,FALSE
s-000025,r-00004,11/04/20,FALSE
s-000026,r-00191,12/11/20,FALSE
s-000027,r-00011,11/11/20,FALSE
s-000028,r-00012,12/12/20,TRUE
s-000029,r-00195,12/25/20,FALSE
s-000030,r-00076,11/16/20,FALSE
s-000031,r-00003,11/13/20,FALSE
s-000032,r-00136,12/12/20,TRUE
s-000033,r-00058,01/27/21,TRUE
s-000034,r-00194,12/04/20,FALSE
s-000035,r-00047,11/27/20,FALSE
s-000036,r-00030,11/10/20,FALSE
s-000037,r-00035,11/15/20,FALSE
s-000038,r-00183,01/02/21,FALSE
s-000039,r-00127,12/03/20,TRUE
s-000040,r-00046,11/16/20,FALSE
s-000041,r-00175,12/15/20,FALSE
s-000042,r-00033,11/13/20,FALSE
s-000043,r-00184,12/04/20,FALSE
s-000044,r-00077,12/15/20,TRUE
s-000045,r-00100,11/10/20,FALSE
s-000046,r-00035,11/05/20,FALSE
s-000047,r-00031,11/11/20,FALSE
s-000048,r-00013,11/23/20,FALSE
s-000049,r-00184,01/29/21,FALSE
s-000050,r-00197,12/17/20,FALSE
